,category,sub_category,brand,sale_price,market_price,type,rating
24494,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Jivika Naturals,1299.0,1299.0,Ghee & Vanaspati,4.3
24495,Gourmet & World Food,Chocolates & Biscuits,Marudhar,140.25,165.0,"Marshmallow, Candy, Jelly",3.2
24496,Beauty & Hygiene,Fragrances & Deos,Engage,85.5,90.0,Women's Deodorants,4.8
24497,Beauty & Hygiene,Bath & Hand Wash,Margo,123.0,128.0,Bathing Bars & Soaps,4.4
24498,Cleaning & Household,"Disposables, Garbage Bag",Maylo,990.0,990.0,Toilet Paper,3.9434095831792573
24499,Beauty & Hygiene,Men's Grooming,Bombay Shaving Company,179.1,199.0,Shaving Care,5.0
24500,Cleaning & Household,Stationery,Doms,162.0,170.0,"Notebooks, Files, Folders",5.0
24501,Beauty & Hygiene,Health & Medicine,Kapiva Ayurveda,280.0,280.0,Ayurveda,3.9434095831792573
24502,Beauty & Hygiene,Skin Care,Aloe Veda,189.0,210.0,Face Care,4.3
24503,Cleaning & Household,All Purpose Cleaners,The Better Home,224.0,280.0,Floor & Other Cleaners,5.0
24504,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Tannys,265.0,265.0,Pork & Ham,3.9434095831792573
24505,Beauty & Hygiene,Health & Medicine,Dabur,62.0,62.0,Ayurveda,3.9434095831792573
24506,Beauty & Hygiene,Bath & Hand Wash,Himalaya Wellness,45.0,50.0,Hand Wash & Sanitizers,3.9
24507,Beauty & Hygiene,Skin Care,Khadi Meghdoot ,200.0,200.0,Body Care,3.9434095831792573
24508,Snacks & Branded Foods,Pickles & Chutney,Jus Amazin,179.0,199.0,Chutney Powder,3.4
24509,"Foodgrains, Oil & Masala",Dals & Pulses,R.K,120.0,120.0,Cereals & Millets,3.9434095831792573
24510,Beauty & Hygiene,Feminine Hygiene,Whisper ,500.4,620.0,Sanitary Napkins,4.4
24511,Gourmet & World Food,"Sauces, Spreads & Dips",Pintola,1533.35,1699.0,"Chocolate, Peanut Spread",3.8
24512,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,18.0,30.0,Powdered Spices,3.9434095831792573
24513,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Meisterwurst,675.0,705.0,Pork & Ham,3.9434095831792573
24514,Beverages,Tea,VAHDAM,244.3,349.0,Exotic & Flavoured Tea,4.8
24515,"Foodgrains, Oil & Masala",Rice & Rice Products,Super Saver,199.0,225.0,Raw Rice,3.9434095831792573
24516,Snacks & Branded Foods,Snacks & Namkeen,BGR,55.0,55.0,Namkeen & Savoury Snacks,3.9434095831792573
24517,Snacks & Branded Foods,Pickles & Chutney,Chings,195.84,240.0,Chutney Powder,4.2
24518,Beauty & Hygiene,Bath & Hand Wash,Wild Ideas,32.0,32.0,Bathing Bars & Soaps,3.9434095831792573
24519,Beauty & Hygiene,Men's Grooming,Set Wet,268.65,597.0,Men's Deodorants,4.0
24520,Gourmet & World Food,Oils & Vinegar,Voila,660.0,1320.0,Extra Virgin Olive Oil,5.0
24521,"Kitchen, Garden & Pets",Storage & Accessories,Nayasa,99.0,115.0,Lunch Boxes,2.0
24522,Beauty & Hygiene,Skin Care,Astaberry,71.25,75.0,Face Care,4.2
24523,Gourmet & World Food,Dairy & Cheese,THE BROOKLYN CREAMERY,292.5,325.0,Gourmet Ice Cream,3.9434095831792573
24524,Beauty & Hygiene,Skin Care,Aroma Magic ,490.0,700.0,Face Care,3.9434095831792573
24525,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,719.0,974.0,Dinner Sets,4.8
24526,Beauty & Hygiene,Hair Care,Indica,36.0,40.0,Hair Color,4.3
24527,Snacks & Branded Foods,Biscuits & Cookies,Tasties,22.0,30.0,Cookies,3.9
24528,Baby Care,Baby Bath & Hygiene,Dabur,230.69,310.0,Baby Bath,3.9434095831792573
24529,"Kitchen, Garden & Pets",Kitchen Accessories,Cartini by Godrej,75.0,79.0,Knives & Peelers,3.2
24530,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Open Secret,325.0,350.0,Choco & Nut Spread,3.4
24531,Snacks & Branded Foods,Biscuits & Cookies,Nestle ,80.0,100.0,Chocolates,4.4
24532,"Foodgrains, Oil & Masala",Masalas & Spices,Eastern,70.0,70.0,Blended Masalas,4.1
24533,Gourmet & World Food,"Sauces, Spreads & Dips",BORGES,1180.06,1545.0,Pastas & Spaghetti,3.9434095831792573
24534,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Smoor,229.5,270.0,"Healthy, Baked Snacks",3.9434095831792573
24535,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,152.0,199.0,Organic Dals & Pulses,4.1
24536,Gourmet & World Food,Drinks & Beverages,Ketofy,499.0,499.0,Coffee & Pre-Mix,3.9434095831792573
24537,"Foodgrains, Oil & Masala",Organic Staples,Phalada Pure & Sure,180.0,225.0,Organic Masalas & Spices,4.1
24538,Beauty & Hygiene,Health & Medicine,Charak,110.0,110.0,Ayurveda,3.9434095831792573
